"Model Identifier","Model Name"
"AppleTV2,1","Apple TV (2nd generation)"
"AppleTV3,1","Apple TV (3rd generation)"
"AppleTV5,3","Apple TV (4th generation)"
"AppleTV6,2","Apple TV 4K (1st generation)"
"iMac16,2","iMac (21.5‑inch, 2015)"
"iMac17,1","iMac (Retina 5K, 27‑inch, 2015)"
"iPad1,1","iPad (1st generation)"
"iPad11,1","iPad mini (5th generation)"
"iPad12,1","iPad (9th generation)"
"iPad2,1","iPad 2 (Wi-Fi)"
"iPad3,1","iPad (3rd generation)"
"iPad4,1","iPad Air (1st generation)"
"iPad5,1","iPad mini 4"
"iPad6,11","iPad (5th generation)"
"iPad7,11","iPad (7th generation)"
"iPad8,1","iPad Pro (11‑inch, 2018)"
"iPhone1,1","iPhone (1st generation)"
"iPhone1,2","iPhone 3G"
"iPhone10,1","iPhone 8"
"iPhone10,2","iPhone 8 Plus"
"iPhone10,3","iPhone X"
"iPhone11,8","iPhone XR"
"iPhone12,1","iPhone 11"
"iPhone12,3","iPhone 11 Pro"
"iPhone12,5","iPhone 11 Pro Max"
"iPhone12,8","iPhone SE (2nd generation)"
"iPhone13,1","iPhone 12 mini"
"iPhone13,2","iPhone 12"
"iPhone13,4","iPhone 12 Pro Max"
"iPhone14,2","iPhone 13 Pro"
"iPhone14,3","iPhone 13 Pro Max"
"iPhone14,4","iPhone 13 mini"
"iPhone14,5","iPhone 13"
"iPhone14,8","iPhone 14 Plus"
"iPhone15,2","iPhone 14 Pro"
"iPhone15,3","iPhone 14 Pro Max"
"iPhone15,4","iPhone 15"
"iPhone15,5","iPhone 15 Plus"
"iPhone16,1","iPhone 15 Pro"
"iPhone16,2","iPhone 15 Pro"
"iPhone17,1","iPhone 16 Pro"
"iPhone17,2","iPhone 16 Pro"
"iPhone17,3","iPhone 16"
"iPhone17,4","iPhone 16 Plus"
"iPhone17,5","iPhone 16e"
"iPhone2,1","iPhone 3GS"
"iPhone3,1","iPhone 4 (GSM)"
"iPhone3,2","iPhone 4 (GSM, Revision A)"
"iPhone3,3","iPhone 4 (CDMA)"
"iPhone4,1","iPhone 4S"
"iPhone5,4","iPhone 5c"
"iPhone6,2","iPhone 5s"
"iPhone7,1","iPhone 6 Plus"
"iPhone7,2","iPhone 6"
"iPhone8,1","iPhone 6s"
"iPhone8,2","iPhone 6s Plus"
"iPhone8,4","iPhone SE (1st generation)"
"iPhone9,1","iPhone 7"
"iPhone9,2","iPhone 7 Plus"
"iPod1,1","iPod Touch (1st generation)"
"iPod2,1","iPod Touch (2nd generation)"
"iPod3,1","iPod Touch (3rd generation)"
"iPod4,1","iPod Touch (4th generation)"
"iPod5,1","iPod Touch (5th generation)"
"iPod7,1","iPod Touch (6th generation)"
"iPod9,1","iPod Touch (7th generation)"
"Mac15,11","MacBook Pro (16‑inch, 2023) — variant"
"Mac15,3","MacBook Pro (14‑inch, November 2023) — M3"
"Mac15,6","MacBook Pro (14‑inch, November 2023) — M3 variant"
"Mac15,7","MacBook Pro (16‑inch, November 2023) — M3 Max/Pro"
"Mac15,9","MacBook Pro (16‑inch, 2023) — M3 Max"
"Mac16,1","MacBook Pro (14‑inch, November 2024) — M4"
"Mac16,10","Mac mini (2024) — M4"
"Mac16,11","Mac mini (2024) — M4 Pro"
"Mac16,12","MacBook Air (13‑inch, M4, 2025)"
"Mac16,13","MacBook Air (15‑inch, M4, 2025)"
"Mac16,2","iMac (24‑inch, M4, 2024)"
"Mac16,3","iMac (24‑inch, M4, 2024)"
"Mac16,5","MacBook Pro (16‑inch, November 2024) — M4 Max"
"Mac16,6","MacBook Pro (14‑inch, November 2024) — M4 Max"
"Mac16,7","MacBook Pro (16‑inch, November 2024) — M4 Pro"
"Mac16,8","MacBook Pro (14‑inch, November 2024) — M4 Pro"
"MacBookAir3,1","MacBook Air (11‑inch, 2010)"
"MacBookAir3,2","MacBook Air (13‑inch, 2010)"
"MacBookAir4,1","MacBook Air (11‑inch, 2011)"
"MacBookAir4,2","MacBook Air (13‑inch, 2011)"
"MacBookAir5,2","MacBook Air (13‑inch, mid‑2012)"
"MacBookAir6,2","MacBook Air (13‑inch, 2013–2014)"
"MacBookAir7,2","MacBook Air (13‑inch, 2015–2017)"
"MacBookAir8,1","MacBook Air Retina (13‑inch, 2018)"
"MacBookAir8,2","MacBook Air Retina (13‑inch, 2019)"
"MacBookAir9,1","MacBook Air (Retina, 13‑inch, 2020)"
"MacBookPro10,2","MacBook Pro (13‑inch Retina, 2012)"
"MacBookPro11,1","MacBook Pro (13‑inch Retina, 2013–2014)"
"MacBookPro12,1","MacBook Pro (13‑inch Retina, 2015)"
"MacBookPro13,2","MacBook Pro (13‑inch, 2016)"
"MacBookPro14,2","MacBook Pro (13‑inch, 2017)"
"MacBookPro15,2","MacBook Pro (13‑inch, 2018–2019)"
"MacBookPro16,2","MacBook Pro (13‑inch, 2020)"
"MacBookPro17,1","MacBook Pro (13‑inch, 2020)"
"MacBookPro7,1","MacBook Pro (13‑inch, 2010)"
"MacBookPro8,1","MacBook Pro (13‑inch, 2011)"
"MacBookPro9,2","MacBook Pro (13‑inch, 2012)"
"Macmini7,1","Mac mini (Mid‑2014)"
"Macmini8,1","Mac mini (2018)"
"Macmini9,1","Mac mini (M1, 2020)"
"MacPro5,1","Mac Pro (Mid‑2010 / Mid‑2012)"
"Pencil1,1","Apple Pencil (1st generation)"
"Pencil2,1","Apple Pencil (2nd generation)"
"VisionPro1,1","Apple Vision Pro (1st generation)"
"Watch1,1","Apple Watch (1st generation)"
"Watch2,6","Apple Watch Series 1"
"Watch2,7","Apple Watch Series 1 (42mm)"
"Watch3,1","Apple Watch Series 3 (GPS + Cellular, 38mm)"
"Watch4,1","Apple Watch Series 4 (GPS, 40mm)"
"Watch5,1","Apple Watch Series 5 (GPS, 40mm)"
"Watch6,1","Apple Watch Series 6 (GPS, 40mm)"
"Watch6,6","Apple Watch Series 6 (GPS + Cellular, 44mm)"
"Watch7,1","Apple Watch Series 7 (41mm)"
"Watch7,3","Apple Watch Series 7 (45mm)"
